rank,gid,role,priority_score,why,cluster_id,priority_raw,score_terms
1,100000003684369100,coordinator,1.0,"координатор (gather-scatter): входов 24 (P99), проход 3,8 млн KZT (P99); скор 41,2 (порог 6,0); быстрый транзит: 26 пар за 0–2 дня; seed, входы неполны",2,41.2036,"in_deg=24 (P99, +7.7); pass_kzt=3.8M (P99, +7.0)"
2,100000008603629100,coordinator,0.8822,"координатор (gather-scatter): входов 19 (P99), проход 1,8 млн KZT (P99); скор 36,3 (порог 6,0); быстрый транзит: 25 пар за 0–2 дня",3,36.3489,"in_deg=19 (P99, +7.0); pass_kzt=1.8M (P99, +6.3)"
3,100000000331309100,coordinator,0.8281,"координатор (gather-scatter): выход 23,0 млн KZT (P99), выходов 99 (P99); скор 34,1 (порог 6,0); быстрый транзит: 7 пар за 0–2 дня",5,34.1203,"out_kzt=23.0M (P99, +7.7); out_deg=99 (P99, +6.6)"
4,100000003016635100,coordinator,0.8091,"координатор (gather-scatter): betweenness 0,0072 (P99), выход 9,4 млн KZT (P99); скор 33,3 (порог 6,0); быстрый транзит: 20 пар за 0–2 дня; seed, входы неполны",4,33.3365,"betweenness=0.0072 (P99, +7.0); out_kzt=9.4M (P99, +6.6)"
5,100000006866783100,coordinator,0.8069,"координатор (gather-scatter): betweenness 0,0060 (P99), входов 13 (P99); скор 33,2 (порог 6,0); быстрый транзит: 22 пары за 0–2 дня; seed, входы неполны",0,33.247,"betweenness=0.0060 (P99, +6.6); in_deg=13 (P99, +6.1)"
6,100000000437046100,coordinator,0.7747,"координатор (gather-scatter): выход 7,6 млн KZT (P99), выходов 42 (P99); скор 31,9 (порог 6,0); быстрый транзит: 11 пар за 0–2 дня",0,31.9223,"out_kzt=7.6M (P99, +5.9); out_deg=42 (P99, +5.5)"
7,100000002224132100,consolidator,0.7531,"консолидатор (fan-in): проход 4,0 млн KZT (P99), вход 4,0 млн KZT (P99); скор 31,0 (порог 6,0); быстрый транзит: 3 пары за 0–2 дня",22,31.0292,"pass_kzt=4.0M (P99, +7.7); in_kzt=4.0M (P99, +7.0)"
8,100000008165763100,coordinator,0.7299,"координатор (gather-scatter): входов 15 (P99), проход 1,2 млн KZT (P99); скор 30,1 (порог 6,0); быстрый транзит: 3 пары за 0–2 дня",2,30.0763,"in_deg=15 (P99, +6.6); pass_kzt=1.2M (P99, +5.4)"
9,100000008477350100,coordinator,0.727,"координатор (gather-scatter): входов 11 (P99), выходов 39 (P99); скор 30,0 (порог 6,0); быстрый транзит: 6 пар за 0–2 дня",0,29.9544,"in_deg=11 (P99, +5.9); out_deg=39 (P99, +5.4)"
10,100000005933757100,coordinator,0.7136,"координатор (gather-scatter): betweenness 0,0039 (P99), проход 1,2 млн KZT (P99); скор 29,4 (порог 6,0); быстрый транзит: 2 пары за 0–2 дня",14,29.4046,"betweenness=0.0039 (P99, +5.6); pass_kzt=1.2M (P99, +5.6)"
11,100000004400305100,coordinator,0.6814,"координатор (gather-scatter): выходов 82 (P99), выход 5,8 млн KZT (P99); скор 28,1 (порог 6,0); быстрый транзит: 7 пар за 0–2 дня",0,28.0781,"out_deg=82 (P99, +6.3); out_kzt=5.8M (P99, +5.8)"
12,100000002578405100,distributor,0.6658,"распределитель (fan-out): выходов 116 (P99), проход 1,2 млн KZT (P99); скор 27,4 (порог 6,0); быстрый транзит: 2 пары за 0–2 дня",1,27.4339,"out_deg=116 (P99, +7.7); pass_kzt=1.2M (P99, +5.5)"
13,100000008346837100,coordinator,0.6604,"координатор (gather-scatter): betweenness 0,0090 (P99), входов 9 (P99); скор 27,2 (порог 6,0); быстрый транзит: 3 пары за 0–2 дня",12,27.2124,"betweenness=0.0090 (P99, +7.7); in_deg=9 (P99, +5.2)"
14,100000001857829100,coordinator,0.6525,"координатор (gather-scatter): проход 889 тыс. KZT (P99), betweenness 0,0020 (P98); скор 26,9 (порог 6,0); быстрый транзит: 3 пары за 0–2 дня",3,26.8867,"pass_kzt=889K (P99, +5.1); betweenness=0.0020 (P98, +4.5)"
15,100000003115284100,consolidator,0.6476,"консолидатор (fan-in): вход 2,2 млн KZT (P99), входов 8 (P99); скор 26,7 (порог 6,0); быстрый транзит: 3 пары за 0–2 дня",11,26.6824,"in_kzt=2.2M (P99, +5.0); in_deg=8 (P99, +4.9)"
16,100000008547948100,coordinator,0.5986,"координатор (gather-scatter): выход 5,2 млн KZT (P99), выходов 26 (P99); скор 24,7 (порог 6,0); быстрый транзит: 1 пара за 0–2 дня",8,24.6632,"out_kzt=5.2M (P99, +5.4); out_deg=26 (P99, +4.7)"
17,100000004156082100,coordinator,0.5917,"координатор (gather-scatter): выходов 26 (P99), betweenness 0,0020 (P99); скор 24,4 (порог 6,0); быстрый транзит: 5 пар за 0–2 дня",15,24.3785,"out_deg=26 (P99, +4.7); betweenness=0.0020 (P99, +4.7)"
18,100000001732159100,transit,0.581,"транзит (pass-through): проход 1,5 млн KZT (P99), вход 2,4 млн KZT (P99); скор 23,9 (порог 6,0); быстрый транзит: 2 пары за 0–2 дня; seed, входы неполны",9,23.9385,"pass_kzt=1.5M (P99, +5.9); in_kzt=2.4M (P99, +5.2)"
19,100000008489922100,coordinator,0.5804,"координатор (gather-scatter): выходов 36 (P99), выход 3,8 млн KZT (P99); скор 23,9 (порог 6,0); быстрый транзит: 3 пары за 0–2 дня",8,23.914,"out_deg=36 (P99, +5.2); out_kzt=3.8M (P99, +4.7)"
20,100000003242289100,coordinator,0.5722,"координатор (gather-scatter): выходов 23 (P98), проход 551 тыс. KZT (P98); скор 23,6 (порог 6,0); быстрый транзит: 4 пары за 0–2 дня",16,23.575,"out_deg=23 (P98, +4.5); pass_kzt=551K (P98, +4.3)"
21,100000008710791100,coordinator,0.568,"координатор (gather-scatter): выход 5,5 млн KZT (P99), выходов 23 (P98); скор 23,4 (порог 6,0); быстрый транзит: 2 пары за 0–2 дня",8,23.4056,"out_kzt=5.5M (P99, +5.6); out_deg=23 (P98, +4.5)"
22,100000000343175100,coordinator,0.5652,"координатор (gather-scatter): выход 4,0 млн KZT (P99), входов 8 (P99); скор 23,3 (порог 6,0); быстрый транзит: 1 пара за 0–2 дня; seed, входы неполны",11,23.29,"out_kzt=4.0M (P99, +4.9); in_deg=8 (P99, +4.9)"
23,100000008258083100,peripheral,0.5591,"периферия (без типовой схемы): проход 2,0 млн KZT (P99), вход 3,1 млн KZT (P99); скор 23,0 (порог 6,0)",29,23.0369,"pass_kzt=2.0M (P99, +6.6); in_kzt=3.1M (P99, +6.1)"
24,100000008686313100,coordinator,0.5559,"координатор (gather-scatter): вход 1,9 млн KZT (P99), betweenness 0,0020 (P98); скор 22,9 (порог 6,0); быстрый транзит: 1 пара за 0–2 дня",0,22.907,"in_kzt=1.9M (P99, +4.7); betweenness=0.0020 (P98, +4.5)"
25,100000007442518100,coordinator,0.551,"координатор (gather-scatter): выход 4,4 млн KZT (P99), проход 510 тыс. KZT (P98); скор 22,7 (порог 6,0)",29,22.7026,"out_kzt=4.4M (P99, +5.1); pass_kzt=510K (P98, +4.1)"
26,100000006889963100,consolidator,0.5462,"консолидатор (fan-in): вход 1,4 млн KZT (P98), достижим от 11 seed (P98); скор 22,5 (порог 6,0); быстрый транзит: 2 пары за 0–2 дня",5,22.5074,"in_kzt=1.4M (P98, +4.3); n_seed_upstream=11 (P98, +4.2)"
